Callsign,Label
AAL2935,virage_descente
YVQ,procedure
RSP946,atterrissage
EDV5152,virage_montee
N339SP,atterrissage
AAL1612,atterrissage
N441E,descente_croisiere
JIA5099,procedure
N8502V,atterrissage
DAL1110,croisiere
EDV5318,decollage
CSH874,virage_croisiere
JCZ,procedure
DAL9889,atterrissage
DAL3016,procedure
FDX542,decollage
FDX306,procedure
ETD269,croisiere
RZO128,atterrissage
UPS1424,descente_croisiere
EDV5426,virage_descente
MXD693,procedure
JZR111,atterrissage
IGO1701,procedure
QFA422,procedure
AAY943,procedure
SWA3496,procedure
SKW4143,procedure
IBE6011,decollage
SKW5705,descente_croisiere
DAL2006,procedure
QFA574,virage_croisiere
ANA516,descente_croisiere
DAL1933,procedure
AAL2288,virage_croisiere
TAM3182,monte_croisiere
AAL460,procedure
AWQ320,atterrissage
SWR176,virage_croisiere
GJS6269,procedure
UAL596,procedure
NOS039,descente_croisiere
UAL1995,procedure
NKS736,virage_croisiere
QXE2373,atterrissage
AAL1348,atterrissage
FTH452,virage_descente
FDX392,virage_montee
HI985,croisiere
AAL2236,atterrissage
SKW3122,atterrissage
N991EW,croisiere
DAL887,croisiere
DAL1156,croisiere
AFL2529,virage_croisiere
N124TX,procedure
BAW5CA,decollage
N988NW,virage_croisiere
UAL717,virage_montee
SKW3104,atterrissage
DAL2088,procedure
MSQT215,procedure
BAW44N,croisiere
N444WD,descente_croisiere
N838RA,procedure
JNA021,virage_montee
N392MA,atterrissage
RYR9876,procedure
TAM4707,descente_croisiere
WJA668,croisiere
UPS2078,procedure
N19804,procedure
ENY3339,atterrissage
JBU2705,croisiere
N444A,atterrissage
ENY3714,decollage
UPS1464,atterrissage
ETD889,virage_croisiere
CAL833,virage_croisiere
WJA252,virage_croisiere
UAL1066,procedure
DAL698,atterrissage
JST812,procedure
DAL230,croisiere
FDX912,virage_croisiere
ENY4162,atterrissage
SWA3718,atterrissage
SKW5962,croisiere
UPS2054,atterrissage
MXD324,decollage
MDA1819,atterrissage
MAS1326,descente_croisiere
RCH396,decollage
JBU392,decollage
JAL97,decollage
JBU3,atterrissage
SWA3354,virage_croisiere
FFT95,atterrissage
UAL488,procedure
IBE3329,decollage
N5672S,procedure
ASA65,atterrissage
RPA4574,virage_descente
N148QS,atterrissage
UAL52,monte_croisiere
N908WA,procedure
FDX197,virage_croisiere
THY726,croisiere
JBU484,croisiere
TSC423,croisiere
SWA3811,atterrissage
RPA3417,descente_croisiere
WZZ1BD,descente_croisiere
EDV4897,atterrissage
N944BB,monte_croisiere
FDX356,procedure
DLH419,decollage
UAL1206,procedure
SWA1037,procedure
WZZ9TV,descente_croisiere
ABW792,procedure
DAL1782,decollage
SKW3694,atterrissage
AZA332,atterrissage
LXJ594,decollage
SWA970,atterrissage
EDV5404,atterrissage
AFL2535,atterrissage
FFL41,atterrissage
BAW15,croisiere
UAL1241,atterrissage
AAL93,monte_croisiere
SKW4050,virage_montee
UAL718,procedure
UAL2282,virage_croisiere
JZA943,procedure
NAX7205,atterrissage
QLK323,procedure
N500MM,virage_descente
SWA2115,atterrissage
N511UP,virage_descente
WJA2509,virage_descente
AAY59,virage_croisiere
PGT48Y,procedure
JIA5192,atterrissage
UAL2262,atterrissage
UAL284,atterrissage
WEN3327,atterrissage
ASQ4302,atterrissage
VIV866,croisiere
UAL2087,croisiere
JIA5537,atterrissage
BAW40F,decollage
EDV4905,procedure
SWA5660,atterrissage
UAE232,virage_croisiere
UAL2229,procedure
DAL1469,atterrissage
SVR2641,croisiere
KAC354,virage_montee
PAL114,procedure
JBU488,virage_croisiere
LOF4752,virage_montee
AFL2497,atterrissage
N268EM,descente_croisiere
UAL251,monte_croisiere
N765RM,atterrissage
AAL1437,procedure
UAL479,croisiere
DAL2496,virage_montee
AVA8518,virage_descente
SWR40,virage_croisiere
EZY94VG,decollage
